"LOCATION","Country","SUBJECT","Subject","STAGES","Development stages","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","VC_INV","Venture capital investments","VC_T","Total","USD_V","USD, current prices","2006","2006","USD","US Dollar","6","Millions",,,456.334579091593,,
"AUS","Australia","VC_INV","Venture capital investments","VC_T","Total","USD_V","USD, current prices","2007","2007","USD","US Dollar","6","Millions",,,680.293170375366,,
"AUS","Australia","VC_INV","Venture capital investments","VC_T","Total","USD_V","USD, current prices","2008","2008","USD","US Dollar","6","Millions",,,755.759626498728,,
"AUS","Australia","VC_INV","Venture capital investments","VC_T","Total","USD_V","USD, current prices","2009","2009","USD","US Dollar","6","Millions",,,532.682779215857,,
"AUS","Australia","VC_INV","Venture capital investments","VC_T","Total","USD_V","USD, current prices","2010","2010","USD","US Dollar","6","Millions",,,367.836251409198,,
"AUS","Australia","VC_INV","Venture capital investments","VC_T","Total","USD_V","USD, current prices","2011","2011","USD","US Dollar","6","Millions",,,246.528232640132,,
"AUS","Australia","VC_INV","Venture capital investments","VC_T","Total","USD_V","USD, current prices","2012","2012","USD","US Dollar","6","Millions",,,331.331195556849,,
"AUS","Australia","VC_INV","Venture capital investments","VC_T","Total","USD_V","USD, current prices","2013","2013","USD","US Dollar","6","Millions",,,252.934083640088,,
"AUS","Australia","VC_INV","Venture capital investments","VC_T","Total","USD_V","USD, current prices","2014","2014","USD","US Dollar","6","Millions",,,265.918369370531,,
"AUS","Australia","VC_INV","Venture capital investments","VC_T","Total","USD_V","USD, current prices","2015","2015","USD","US Dollar","6","Millions",,,288.485376646207,,
"AUS","Australia","VC_INV","Venture capital investments","VC_T","Total","USD_V","USD, current prices","2016","2016","USD","US Dollar","6","Millions",,,165.772880746112,,
"AUS","Australia","VC_INV","Venture capital investments","VC_T","Total","USD_V","USD, current prices","2017","2017","USD","US Dollar","6","Millions",,,354.855076573587,,
"AUS","Australia","VC_INV","Venture capital investments","VC_T","Total","USD_V","USD, current prices","2018","2018","USD","US Dollar","6","Millions",,,428.866447700708,,
"AUS","Australia","VC_INV","Venture capital investments","SEED","Seed","USD_V","USD, current prices","2006","2006","USD","US Dollar","6","Millions",,,36.8983405536107,,
"AUS","Australia","VC_INV","Venture capital investments","SEED","Seed","USD_V","USD, current prices","2007","2007","USD","US Dollar","6","Millions",,,29.2869138537981,,
"AUS","Australia","VC_INV","Venture capital investments","SEED","Seed","USD_V","USD, current prices","2008","2008","USD","US Dollar","6","Millions",,,36.9072403617581,,
"AUS","Australia","VC_INV","Venture capital investments","SEED","Seed","USD_V","USD, current prices","2009","2009","USD","US Dollar","6","Millions",,,28.8569001917814,,
"AUS","Australia","VC_INV","Venture capital investments","SEED","Seed","USD_V","USD, current prices","2012","2012","USD","US Dollar","6","Millions",,,14.4957398056121,,
"AUS","Australia","VC_INV","Venture capital investments","SEED","Seed","USD_V","USD, current prices","2013","2013","USD","US Dollar","6","Millions",,,11.5847671896224,,
